raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,chiapas,totolapa,totolapa,661.0,954,25,no disponible,no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,totolapa,totolapa,661.0,954,25,no disponible,no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,chiapas,ocozocoautla de espinosa,vicente guerrero,875.0,972,23,['amarillo naranja'],no disponible,no disponible,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san baltazar loxicha,villa tierra,847.0,930,23,no disponible,10.65,19.95,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,hueyapan de ocampo,"coyol de gonzález, carretera hueyapan de ocampo-coyolito",55.0,1431,25,['blanco cremoso'],12.2,18.62,bajas,caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"tulapan, carretera salto de eyipantla-abrevadero",80.0,1432,25,['blanco cremoso'],10.6,16.41,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"tulapan, carretera salto de eyipantla-abrevadero",80.0,1432,25,"['amarillo naranja', 'naranja']",10.6,15.76,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"tulapan, carretera salto de eyipantla-abrevadero",80.0,1432,25,['blanco cremoso'],10.6,16.57,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"santa rosa abata, carretera san andrés tuxtla-catemaco, desviación santa rosa abata",536.0,1782,23,['blanco cremoso'],13,18.26,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san andres huaxpaltepec,rancho viejo,226.0,1258,27,['blanco'],11,15.3,bajas,caliente,abundantes
maíz raza olotillo,oaxaca,san agustin loxicha,juquilita,1919.0,1098,17,"['blanco cremoso', 'azul oscuro']",10.2,19.595,altas,fría,abundantes
maíz raza olotillo,guanajuato,atarjea,el charco,1638.0,511,18,"['blanco', 'rojo', 'azul oscuro']",11.6,16.5,mediana altitud,fría,poco abundantes
maíz raza olotillo,chiapas,el bosque,el bosque,1341.0,1381,20,['blanco'],10,16.5,mediana altitud,templada,muy abundantes
maíz raza olotillo,san luis potosi,xilitla,apetzco,876.0,1089,21,"['rojo', 'azul', 'blanco', 'rojo', 'azul', 'blanco']",10.4,16.2,bajas,templada,abundantes
maíz raza olotillo,san luis potosi,xilitla,apetzco,876.0,1089,21,"['blanco', 'rojo naranja']",12.4,18.8,bajas,templada,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],10,14.2,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['amarillo claro'],11,14.2,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],11,13.1,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],12,15.5,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,"['blanco', 'amarillo claro']",12,15.6,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],9,12.6,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],8,15.9,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],9,15.6,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['blanco'],11,14.3,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,['amarillo claro'],11,18.1,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,"['blanco', 'amarillo claro']",11,18.5,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san jeronimo coatlan,san cristóbal honduras,1109.0,977,22,"['blanco', 'negro']",9,14.5,bajas,semi-caliente,abundantes
maíz raza olotillo,oaxaca,san felipe usila,arroyo iguana,112.0,2057,24,['blanco'],no disponible,no disponible,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,coachumo común,319.0,1413,23,"['amarillo', 'rojo naranja']",10,14,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,coachumo común,319.0,1413,23,"['amarillo', 'jaspeado', 'azul']",10,17,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,santa catarina loxicha,jardín del sur,669.0,970,24,['blanco cremoso'],9.5,18.76,bajas,semi-caliente,abundantes
