race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['white'],8,19.4,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['light yellow'],10,19.9,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,Tlacamama,256,1295,27,"['white', 'red']",9,13.4,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['light yellow'],12,18.5,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['light yellow'],8,16.9,low,hot,abundant
maíz raza olotillo,Oaxaca,San Miguel Tlacamama,San Miguel Tlacamama,256,1295,27,['white'],10,20.1,low,hot,abundant
maíz raza olotillo,Mexico,Tejupilco,Pantoja,1705,1058,19,['white'],10.8,18.27,medium altitude,temperate,abundant
maíz raza olotillo,Puebla,Xochiapulco,La Manzanilla,1838,1384,16,"['white', 'red', 'dark blue']",,,high,cold,very abundant
maíz raza olotillo,Puebla,Xochiapulco,La Manzanilla,1838,1384,16,"['white', 'dark blue']",,,high,cold,very abundant
maíz raza olotillo,Hidalgo,Agua Blanca de Iturbide,Ranchería Potrero Monroy,1767,1304,16,['creamy white'],11.2,16.65,medium altitude,cold,abundant
maíz raza olotillo,Hidalgo,Agua Blanca de Iturbide,Ranchería Potrero Monroy,1767,1304,16,['red'],12.8,15.64,medium altitude,cold,abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,La Nueva Luz,643,974,24,['white'],9.2,13.245,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,La Nueva Luz,604,962,24,['white'],9.55,19.9,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Tantoyuca,El Mezquite,93,1223,24,['white'],9.2,18.6,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Tantoyuca,El Mezquite,93,1223,24,"['yellow', 'red-orange', 'yellow', 'red-orange']",9.6,14,low,semi-warm,abundant
maíz raza olotillo,Guerrero,La Union de Isidoro Montes de Oca,El Chico,45,996,27,['creamy white'],10.8,19.1,low,hot,abundant
